Identifiant de document|Reference document|1 Articles CGI|2 Articles CGI|3 Articles CGI|4 Articles CGI|5 Articles CGI|No disposition|Date mutation|Nature mutation|Valeur fonciere|No voie|B/T/Q|Type de voie|Code voie|Voie|Code postal|Commune|Code departement|Code commune|Prefixe de section|Section|No plan|No Volume|1er lot|Surface Carrez du 1er lot|2eme lot|Surface Carrez du 2eme lot|3eme lot|Surface Carrez du 3eme lot|4eme lot|Surface Carrez du 4eme lot|5eme lot|Surface Carrez du 5eme lot|Nombre de lots|Code type local|Type local|Identifiant local|Surface reelle bati|Nombre pieces principales|Nature culture|Nature culture speciale|Surface terrain
|||||||000001|08/01/2025|Vente|237048,25|5537|||B093|DOMBEY|1750|REPLONGES|01|320||ZC|157||||||||||||0|1|Maison||115|5|S||887
|||||||000001|06/01/2025|Vente|155000,00|112||RUE|0070|GUI DE CHABEU|1480|BEAUREGARD|01|30||AA|178||33||||||||||1|3|Dépendance||0|0|||
|||||||000001|06/01/2025|Vente|155000,00|112||RUE|0070|GUI DE CHABEU|1480|BEAUREGARD|01|30||AA|178||36||||||||||1|2|Appartement||101|4|||
|||||||000002|20/01/2025|Vente|195000,00|13||CHE|0060|DU COLOMBIER|1300|BRENS|01|61||C|356||||||||||||0|3|Dépendance||0|0|S||773
|||||||000002|20/01/2025|Vente|195000,00|13||CHE|0060|DU COLOMBIER|1300|BRENS|01|61||C|356||||||||||||0|1|Maison||152|6|S||773
|||||||000002|20/01/2025|Vente|195000,00|13||CHE|0060|DU COLOMBIER|1300|BRENS|01|61||C|356||||||||||||0|3|Dépendance||0|0|S||773
|||||||000002|20/01/2025|Vente|195000,00|13||CHE|0060|DU COLOMBIER|1300|BRENS|01|61||C|1038||||||||||||0|3|Dépendance||0|0|P||1125
|||||||000001|06/01/2025|Vente|78000,00|112||RUE|0070|GUI DE CHABEU|1480|BEAUREGARD|01|30||AA|178||35||||||||||1|3|Dépendance||0|0|||
|||||||000001|06/01/2025|Vente|78000,00|112||RUE|0070|GUI DE CHABEU|1480|BEAUREGARD|01|30||AA|178||27||38||||||||2|2|Appartement||44|2|||
|||||||000001|16/01/2025|Vente|82000,00|85|B|CRS|1490|DE VERDUN|1100|OYONNAX|01|283||AN|149||51|69,43|86||||||||2|3|Dépendance||0|0|||
