Index,Valeur fonciere,Commune,Code departement,Section,Nombre de lots,Surface reelle bati
261,650000.0,NICE,6,MH,1,2.2927335907494166
263,188145.0,NICE,6,NW,2,-1.0407411748661053
266,190000.0,NICE,6,KS,1,-0.624056829164165
267,225933.0,NICE,6,EA,1,-0.2420961789373865
269,140000.0,NICE,6,NW,2,-0.2768198744125482
271,91200.0,NICE,6,HW,2,0.20931186223971546
274,203000.0,NICE,6,KX,2,-0.41571465631319493
277,300000.0,NICE,6,LN,3,0.3134829486652005
279,215000.0,NICE,6,LO,2,0.487101426041009
281,290000.0,NICE,6,IX,1,0.5565488169913323
283,150000.0,NICE,6,IX,2,-1.0060174793909435
284,114000.0,NICE,6,NX,1,-1.1449122612915903
286,137000.0,NICE,6,LB,1,-1.179635956766752
289,207000.0,NICE,6,HC,2,0.20931186223971546
292,183000.0,NICE,6,NH,1,-0.9018463929654585
293,310000.0,NICE,6,KX,1,0.3134829486652005
295,230000.0,NICE,6,IR,2,0.3482066441403622
297,170000.0,NICE,6,KW,1,-0.7282279155896502
299,437467.0,NICE,6,KT,2,0.17458816676455377
300,350000.0,NICE,6,KW,2,-0.4851620472635183
304,170000.0,NICE,6,LO,1,-1.0060174793909435
307,1080000.0,NICE,6,LB,1,3.056654891202974
311,375000.0,NICE,6,NE,2,1.1815753355442427
313,195780.0,NICE,6,LO,2,-0.7282279155896502
314,130000.0,NICE,6,ED,1,-0.7976753065399735
316,265000.0,NICE,6,IR,1,0.2787592531900388
320,1000000.0,NICE,6,LK,2,-0.8323990020151352
321,1000000.0,NICE,6,LK,3,1.6329833767213446
325,171500.0,NICE,6,IR,2,0.24403555771487714
326,195000.0,NICE,6,KO,2,-0.31154356988770987
330,285000.0,NICE,6,ME,2,0.487101426041009
333,217000.0,NICE,6,IX,2,0.03569338486390701
335,130000.0,NICE,6,HD,2,-0.31154356988770987
337,140425.53,NICE,6,LA,1,-1.179635956766752
339,110000.0,NICE,6,HY,2,-0.31154356988770987
341,330000.0,NICE,6,KV,3,0.3134829486652005
344,608950.0,NICE,6,LD,2,1.8066018540971531
350,820800.0,NICE,6,MH,2,2.049667722423285
353,195000.0,NICE,6,IV,1,-0.9018463929654585
355,200000.0,NICE,6,LC,1,-0.2768198744125482
358,220000.0,NICE,6,KO,1,-0.5546094382138417
361,212000.0,NICE,6,IZ,1,-0.6587805246393268
369,335000.0,NICE,6,KT,1,-0.4851620472635183
371,110200.0,NICE,6,IM,2,-0.4851620472635183
372,195000.0,NICE,6,IX,1,-0.7282279155896502
373,140000.0,NICE,6,IX,1,-0.7282279155896502
377,645000.0,NICE,6,KT,1,0.3134829486652005
381,260000.0,NICE,6,KP,2,-0.2768198744125482
383,158000.0,NICE,6,NZ,2,-0.31154356988770987
386,264000.0,NICE,6,LC,1,-0.624056829164165
387,169000.0,NICE,6,LC,1,-0.624056829164165
388,148000.0,NICE,6,KO,1,-1.1101885658164288
389,77000.0,NICE,6,NC,2,-1.3532544341425605
393,200000.0,NICE,6,LW,2,0.8343383807926258
402,337000.0,NICE,6,LN,1,0.3482066441403622
404,360000.0,NICE,6,MV,1,0.41765403509068555
405,145000.0,NICE,6,IY,1,-1.1101885658164288
406,54000.0,NICE,6,HA,1,-1.2490833477170755
407,300000.0,NICE,6,IX,2,0.24403555771487714
410,415000.0,NICE,6,EP,1,0.9385094672181109
411,133000.0,NICE,6,NW,2,-0.8671226974902969
413,140000.0,NICE,6,LN,2,-0.624056829164165
417,650000.0,NICE,6,KW,2,0.9385094672181109
421,286250.0,NICE,6,LO,2,0.13986447128939208
423,157000.0,NICE,6,IY,1,-0.38099096083803324
424,550000.0,NICE,6,LB,1,1.0079568581684342
425,387500.0,NICE,6,IW,1,1.2162990310194044
429,90000.0,NICE,6,KW,1,-0.2420961789373865
431,315000.0,NICE,6,EW,2,0.6607199034168174
434,230000.0,NICE,6,KP,1,-0.8323990020151352
436,259000.0,NICE,6,LZ,2,0.695443598891979
438,465000.0,NICE,6,MO,1,0.10514077581423038
440,172990.0,NICE,6,OC,2,0.695443598891979
442,395000.0,NICE,6,KV,2,0.487101426041009
444,150000.0,NICE,6,MI,1,-0.2768198744125482
446,40000.0,NICE,6,IO,1,-1.283807043192237
447,77000.0,NICE,6,LI,1,-1.2490833477170755
448,300000.0,NICE,6,KO,1,-0.31154356988770987
450,413850.0,NICE,6,KV,1,0.0704170803390687
451,312000.0,NICE,6,LW,2,0.3482066441403622
454,351050.0,NICE,6,IM,2,0.9732331626932725
457,228000.0,NICE,6,LW,2,-0.17264878798706312
459,205000.0,NICE,6,KW,2,-0.34626726536287156
461,132700.0,NICE,6,KY,2,-0.9712937839157819
465,260000.0,NICE,6,OI,2,-0.06847770156157805
467,66000.0,NICE,6,HD,1,-1.2143596522419138
469,110000.0,NICE,6,CR,2,-0.624056829164165
475,690000.0,NICE,6,ME,2,1.6677070721965064
477,220200.0,NICE,6,EC,2,0.03569338486390701
478,1084120.0,NICE,6,KO,2,2.605246850025872
479,155000.0,NICE,6,HO,1,1.042680553643596
484,340000.0,NICE,6,EA,2,0.13986447128939208
486,270000.0,NICE,6,LB,1,0.487101426041009
487,268000.0,NICE,6,IZ,2,0.6607199034168174
490,215000.0,NICE,6,KI,1,-0.9365700884406203
494,95000.0,NICE,6,HN,2,0.20931186223971546
496,135000.0,NICE,6,HD,1,0.2787592531900388
497,140000.0,NICE,6,ET,1,-1.2490833477170755
499,450000.0,NICE,6,LA,1,0.591272512466494
501,543000.0,NICE,6,HA,2,2.014944026948123
504,1388720.0,NICE,6,KY,5,3.4386155414297526
506,165000.0,NICE,6,MI,1,-0.6935042201144884
518,700000.0,NICE,6,MO,2,0.591272512466494
521,790476.2,NICE,6,KM,1,0.41765403509068555
524,195000.0,NICE,6,NW,1,0.487101426041009
527,185000.0,NICE,6,IM,1,-0.41571465631319493
533,674520.0,NICE,6,KV,1,0.487101426041009
536,130000.0,NICE,6,EZ,2,0.0009696893887453212
539,243000.0,NICE,6,OL,1,-0.4851620472635183
540,360000.0,NICE,6,IV,2,0.13986447128939208
546,160000.0,NICE,6,IM,2,0.03569338486390701
548,415000.0,NICE,6,MH,2,1.2510227264945661
551,186000.0,NICE,6,KW,1,-0.9365700884406203
552,220000.0,NICE,6,IX,1,-0.9018463929654585
556,480000.0,NICE,6,MP,2,0.695443598891979
558,114000.0,NICE,6,OL,2,-1.3185307386673988
560,103000.0,NICE,6,HC,1,-1.0407411748661053
562,285000.0,NICE,6,EB,2,0.591272512466494
564,295720.0,NICE,6,NK,1,-0.13792509251190144
567,322000.0,NICE,6,NO,2,0.2787592531900388
568,400000.0,NICE,6,IY,2,-0.9018463929654585
569,400000.0,NICE,6,IY,2,-0.9018463929654585
572,237000.0,NICE,6,KO,2,-0.5546094382138417
576,134000.0,NICE,6,MI,1,-1.0060174793909435
577,99000.0,NICE,6,MP,1,-1.3532544341425605
578,350000.0,NICE,6,LK,2,0.13986447128939208
583,460000.0,NICE,6,ND,2,1.042680553643596
584,130000.0,NICE,6,NH,2,-1.075464870341267
589,250000.0,NICE,6,EA,2,0.3482066441403622
594,278000.0,NICE,6,LS,2,0.13986447128939208
596,135000.0,NICE,6,MH,2,-0.9712937839157819
607,271060.0,NICE,6,LW,2,-0.31154356988770987
610,406000.0,NICE,6,LT,1,1.5288122902958596
612,220000.0,NICE,6,LT,1,-0.03375400608641637
614,994159.0,NICE,6,KL,1,2.813589022876842
617,158000.0,NICE,6,NB,1,-1.1101885658164288
619,83000.0,NICE,6,NC,2,-1.3185307386673988
622,168000.0,NICE,6,LN,2,0.0009696893887453212
623,200000.0,NICE,6,IX,1,-0.5546094382138417
625,850000.0,NICE,6,LK,2,2.5357994590755486
630,175750.0,NICE,6,NE,1,-0.5546094382138417
631,249000.0,NICE,6,KM,1,-0.38099096083803324
634,283500.0,NICE,6,IR,2,1.5288122902958596
637,327500.0,NICE,6,NE,3,0.8343383807926258
638,1045000.0,NICE,6,KY,2,1.7371544631468296
641,900000.0,NICE,6,LC,1,0.5565488169913323
643,139000.0,NICE,6,EK,2,0.7301672943671408
645,130040.0,NICE,6,KZ,1,-1.0407411748661053
647,232000.0,NICE,6,MP,2,0.3134829486652005
648,70000.0,NICE,6,NW,1,-0.06847770156157805
650,135000.0,NICE,6,LI,2,-0.6935042201144884
653,95000.0,NICE,6,EK,2,0.13986447128939208
655,370000.0,NICE,6,HB,2,0.8343383807926258
661,178000.0,NICE,6,EW,1,-0.41571465631319493
664,150000.0,NICE,6,NK,1,-0.4851620472635183
665,372500.0,NICE,6,ML,1,-0.9018463929654585
666,372500.0,NICE,6,ML,1,-0.9018463929654585
667,372500.0,NICE,6,ML,1,-0.9018463929654585
671,756407.0,NICE,6,LW,2,1.9802203314729616
673,250000.0,NICE,6,NH,3,0.7648909898423024
677,149250.0,NICE,6,LP,2,-0.7629516110648118
679,174000.0,NICE,6,EA,2,-0.5546094382138417
682,190000.0,NICE,6,LA,1,-0.8323990020151352
686,129500.0,NICE,6,ED,2,-0.5546094382138417
688,350000.0,NICE,6,NO,2,0.2787592531900388
691,495000.0,NICE,6,LC,1,-0.41571465631319493
692,265000.0,NICE,6,NH,1,-0.7976753065399735
696,950400.0,NICE,6,HA,3,2.049667722423285
698,950400.0,NICE,6,HA,1,1.042680553643596
701,340000.0,NICE,6,KV,1,0.20931186223971546
702,163950.0,NICE,6,ND,2,-1.075464870341267
705,285000.0,NICE,6,LS,1,-0.13792509251190144
707,270000.0,NICE,6,LB,1,-0.6935042201144884
708,5000.0,NICE,6,IX,3,-1.3185307386673988
710,112000.0,NICE,6,LW,2,0.0009696893887453212
712,153000.0,NICE,6,HD,2,0.03569338486390701
715,209000.0,NICE,6,KP,1,-0.2073724834622248
718,207780.0,NICE,6,MY,2,0.03569338486390701
723,532500.0,NICE,6,KV,1,0.695443598891979
725,205000.0,NICE,6,LO,2,0.0704170803390687
727,215000.0,NICE,6,EC,2,0.13986447128939208
731,115500.0,NICE,6,EK,2,0.6607199034168174
734,140000.0,NICE,6,EH,2,-0.10320139703673974
736,148000.0,NICE,6,KR,1,-0.7629516110648118
740,151429.0,NICE,6,LS,1,0.0009696893887453212
742,185000.0,NICE,6,LT,1,1.3899175083952129
744,365521.0,NICE,6,NS,1,0.03569338486390701
747,150000.0,NICE,6,LT,1,-1.1101885658164288
748,190000.0,NICE,6,IY,1,-0.2768198744125482
750,511845.0,NICE,6,KL,2,0.24403555771487714
752,210000.0,NICE,6,NY,2,0.13986447128939208
755,185000.0,NICE,6,EC,2,0.0704170803390687
757,380965.0,NICE,6,DE,1,1.3551938129200511
760,425000.0,NICE,6,EA,2,1.1815753355442427
764,120500.0,NICE,6,EK,2,0.5565488169913323
765,233500.0,NICE,6,NY,1,0.41765403509068555
769,290000.0,NICE,6,OE,1,0.20931186223971546
771,200000.0,NICE,6,IW,1,0.41765403509068555
772,90000.0,NICE,6,IR,1,-1.1449122612915903
773,393363.75,NICE,6,ED,2,0.487101426041009
777,137960.0,NICE,6,NT,2,-1.283807043192237
782,250000.0,NICE,6,EA,1,-0.2768198744125482
787,352500.0,NICE,6,DC,1,0.24403555771487714
793,260000.0,NICE,6,KI,3,-0.8323990020151352
795,298580.0,NICE,6,LO,2,0.591272512466494
798,322000.0,NICE,6,LB,1,0.3482066441403622
801,740000.0,NICE,6,NI,0,0.38293033961552386
803,740000.0,NICE,6,NI,0,-1.179635956766752
804,740000.0,NICE,6,NI,0,-1.1449122612915903
805,740000.0,NICE,6,NI,0,-1.283807043192237
806,740000.0,NICE,6,NI,0,-1.3532544341425605
807,740000.0,NICE,6,NI,0,-1.075464870341267
808,740000.0,NICE,6,NI,0,0.38293033961552386
811,740000.0,NICE,6,NI,0,-1.179635956766752
812,740000.0,NICE,6,NI,0,-1.1449122612915903
813,740000.0,NICE,6,NI,0,-1.283807043192237
814,740000.0,NICE,6,NI,0,-1.3532544341425605
815,740000.0,NICE,6,NI,0,-1.075464870341267
818,107000.0,NICE,6,EB,2,-0.41571465631319493
821,430000.0,NICE,6,LX,2,2.014944026948123
822,130000.0,NICE,6,EA,2,-1.075464870341267
824,542500.0,NICE,6,KW,1,0.3134829486652005
827,60000.0,NICE,6,LS,1,-1.631043997943854
828,105300.0,NICE,6,NT,1,-1.4227018250928838
830,46900.0,NICE,6,IX,2,-0.2073724834622248
839,210000.0,NICE,6,EZ,2,0.10514077581423038
842,221090.0,NICE,6,NX,2,-0.03375400608641637
844,650000.0,NICE,6,LD,1,2.709417936451357
845,160000.0,NICE,6,IX,1,-0.7976753065399735
847,248700.0,NICE,6,LB,1,-0.31154356988770987
848,156100.0,NICE,6,LT,2,-0.7976753065399735
851,270000.0,NICE,6,IY,1,0.7996146853174642
855,575000.0,NICE,6,EH,1,-0.5546094382138417
856,575000.0,NICE,6,EH,1,-0.41571465631319493
858,100000.0,NICE,6,EA,2,0.3134829486652005
867,366500.0,NICE,6,NW,3,1.9107729405226381
870,417000.0,NICE,6,KY,2,0.0009696893887453212
871,239000.0,NICE,6,LO,1,0.13986447128939208
874,356000.0,NICE,6,NS,2,0.7648909898423024
880,180000.0,NICE,6,IV,2,-0.5546094382138417
881,240000.0,NICE,6,LS,1,1.0774042491187577
884,731400.0,NICE,6,NH,2,1.2857464219697279
886,295000.0,NICE,6,HI,2,0.2787592531900388
888,146000.0,NICE,6,KS,1,-1.075464870341267
892,236000.0,NICE,6,IZ,2,-0.13792509251190144
893,134000.0,NICE,6,MO,1,-1.4921492160432073
900,313500.0,NICE,6,KT,1,-0.5893331336890034
902,145000.0,NICE,6,IZ,1,-1.179635956766752
904,326000.0,NICE,6,KW,1,0.6607199034168174
906,198000.0,NICE,6,LA,2,-0.5893331336890034
907,120000.0,NICE,6,KX,1,-1.179635956766752
908,1250000.0,NICE,6,KO,1,2.917760109302327
910,340000.0,NICE,6,ND,1,0.9037857717429492
913,155000.0,NICE,6,NX,2,-0.2420961789373865
