Identifiant de document|Reference document|1 Articles CGI|2 Articles CGI|3 Articles CGI|4 Articles CGI|5 Articles CGI|No disposition|Date mutation|Nature mutation|Valeur fonciere|No voie|B/T/Q|Type de voie|Code voie|Voie|Code postal|Commune|Code departement|Code commune|Prefixe de section|Section|No plan|No Volume|1er lot|Surface Carrez du 1er lot|2eme lot|Surface Carrez du 2eme lot|3eme lot|Surface Carrez du 3eme lot|4eme lot|Surface Carrez du 4eme lot|5eme lot|Surface Carrez du 5eme lot|Nombre de lots|Code type local|Type local|Identifiant local|Surface reelle bati|Nombre pieces principales|Nature culture|Nature culture speciale|Surface terrain
|||||||000001|21/02/2025|Vente|155000,00|31||RUE|1365|CHATEAUNEUF|6000|NICE|06|88||KX|265||56|34,40|||||||||1|2|Appartement||34|1|||
|||||||000001|27/02/2025|Vente|178000,00|258||AV|6035|SAINTE MARGUERITE|6200|NICE|06|88||OL|201||7||||||||||1|3|Dépendance||0|0|||
|||||||000001|27/02/2025|Vente|178000,00|258||AV|6035|SAINTE MARGUERITE|6200|NICE|06|88||OL|201||62|59,02|||||||||1|2|Appartement||70|2|||
|||||||000001|27/02/2025|Vente|178000,00|258||AV|6035|SAINTE MARGUERITE|6200|NICE|06|88||OL|201||6||||||||||1|3|Dépendance||0|0|||
|||||||000001|03/03/2025|Vente|390000,00|20||AV|4275|MIRABEAU|6000|NICE|06|88||LS|199||102|72,70|134||||||||2|2|Appartement||71|3|||
|||||||000001|03/03/2025|Vente|390000,00|20||AV|4275|MIRABEAU|6000|NICE|06|88||LS|199||179||||||||||1|3|Dépendance||0|0|||
|||||||000001|17/02/2025|Vente|250000,00|4||AV|0915|DES BOSQUETS|6200|NICE|06|88||NH|141||19||87|67,67|||||||2|3|Dépendance||0|0|||
|||||||000001|17/02/2025|Vente|250000,00|4||AV|0915|DES BOSQUETS|6200|NICE|06|88||NH|141||19||87|67,67|||||||2|2|Appartement||68|3|||
|||||||000001|25/02/2025|Vente|621055,60|76||AV|4340|DU MONT ALBAN|6300|NICE|06|88||IV|158||27||||||||||1|3|Dépendance||0|0|||
|||||||000001|25/02/2025|Vente|621055,60|76||AV|4340|DU MONT ALBAN|6300|NICE|06|88||IV|158||46|80,65|||||||||1|2|Appartement||77|3|||
|||||||000001|20/02/2025|Vente|216000,00|15||RUE|0230|ANDRIOLI|6000|NICE|06|88||KW|198||100B|54,34|39B||||||||2|3|Dépendance||0|0|||
|||||||000001|20/02/2025|Vente|216000,00|15||RUE|0230|ANDRIOLI|6000|NICE|06|88||KW|198||100B|54,34|39B||||||||2|2|Appartement||54|2|||
|||||||000001|13/02/2025|Vente|64000,00|1||RUE|3472|JOSEPH GAZAN|6000|NICE|06|88||HD|228||4140||||||||||1|2|Appartement||19|1|||
|||||||000001|05/02/2025|Vente en l'état futur d'achèvement|27000,00|||||||NICE|06|88||EB|84||10||||||||||1||||||||
|||||||000001|27/02/2025|Vente|250000,00|7||PROM|0240|DES ANGLAIS|6000|NICE|06|88||KT|258||136||||||||||1|3|Dépendance||0|0|||
|||||||000001|27/02/2025|Vente|250000,00|7||PROM|0240|DES ANGLAIS|6000|NICE|06|88||KT|258||393|20,70|||||||||1|2|Appartement||26|1|||
|||||||000001|26/02/2025|Vente|445000,00|15||VC|5643|SABATIER|6000|NICE|06|88||MA|119||4||||||||||1|3|Dépendance||0|0|||
|||||||000001|26/02/2025|Vente|445000,00|15||VC|5643|SABATIER|6000|NICE|06|88||MA|119||6||||||||||1|3|Dépendance||0|0|||
|||||||000001|26/02/2025|Vente|445000,00|15||VC|5643|SABATIER|6000|NICE|06|88||MA|119||1|101,20|||||||||1|2|Appartement||98|4|||
|||||||000001|26/02/2025|Vente|445000,00|15||VC|5643|SABATIER|6000|NICE|06|88||MA|119||2|133,20|||||||||1|2|Appartement||98|4|||
|||||||000001|26/02/2025|Vente|445000,00|15||VC|5643|SABATIER|6000|NICE|06|88||MA|119||3||||||||||1|3|Dépendance||0|0|||
|||||||000001|26/02/2025|Vente|35000,00|2||AV|1160|DE CARRAS|6200|NICE|06|88||NW|445||7||||||||||1|3|Dépendance||0|0|||
|||||||000001|13/02/2025|Vente|307630,00|352||AV|6035|SAINTE MARGUERITE|6200|NICE|06|88||CE|172||46||||||||||1|3|Dépendance||0|0|||
|||||||000001|13/02/2025|Vente|307630,00|352||AV|6035|SAINTE MARGUERITE|6200|NICE|06|88||CE|172||109|63,08|||||||||1|2|Appartement||63|2|||
|||||||000001|26/02/2025|Vente|309500,00|199||BD|4350|DU MONT BORON|6300|NICE|06|88||IV|227||209|51,45|224||||||||2|2|Appartement||53|2|||
|||||||000001|26/02/2025|Vente|309500,00|199||BD|4350|DU MONT BORON|6300|NICE|06|88||IV|227||236||||||||||1|3|Dépendance||0|0|||
|||||||000001|26/02/2025|Vente|309500,00|199||BD|4350|DU MONT BORON|6300|NICE|06|88||IV|227||209|51,45|224||||||||2|3|Dépendance||0|0|||
|||||||000001|10/02/2025|Vente|411757,00|207||RTE|5910|ST PIERRE FERIC|6000|NICE|06|88||LY|90||12|61,93|||||||||1|2|Appartement||59|3|||
|||||||000001|24/02/2025|Vente|179900,00|121||BD|4483|NAPOLEON III|6200|NICE|06|88||NS|11||2365||||||||||1|3|Dépendance||0|0|||
|||||||000001|24/02/2025|Vente|179900,00|121||BD|4483|NAPOLEON III|6200|NICE|06|88||NS|11||1415|41,02|1460||||||||2|2|Appartement||46|1|||
|||||||000001|24/02/2025|Vente|179900,00|121||BD|4483|NAPOLEON III|6200|NICE|06|88||NS|11||1415|41,02|1460||||||||2|3|Dépendance||0|0|||
|||||||000001|18/02/2025|Vente|168500,00|73||CHE|6364|DE TERRON|6200|NICE|06|88||MY|91||29|44,75|6||||||||2|2|Appartement||43|2|||
|||||||000001|18/02/2025|Vente|168500,00|73||CHE|6364|DE TERRON|6200|NICE|06|88||MY|91||29|44,75|6||||||||2|3|Dépendance||0|0|||
|||||||000001|18/02/2025|Vente|138000,00|3||RUE|0170|AMIRAL DE GRASSE|6000|NICE|06|88||KY|302||60|27,01|||||||||1|2|Appartement||28|1|||
|||||||000001|17/02/2025|Vente|212060,00|3||RUE|2200|EDOUARD SCOFFIER|6300|NICE|06|88||IY|97||64||||||||||1|2|Appartement||40|2|||
|||||||000001|24/02/2025|Vente|185000,00|27||CHE|6364|DE TERRON|6200|NICE|06|88||NI|191||41|41,28|||||||||1|2|Appartement||40|2|||
|||||||000001|24/02/2025|Vente|185000,00|27||CHE|6364|DE TERRON|6200|NICE|06|88||NI|191||101||||||||||1|3|Dépendance||0|0|||
|||||||000001|21/02/2025|Vente|122200,00|37||AV|6575|VALROSE|6100|NICE|06|88||LO|1||13||||||||||1|2|Appartement||40|1|||
|||||||000001|21/02/2025|Vente|122200,00|37||AV|6575|VALROSE|6100|NICE|06|88||LO|1||13||||||||||1|3|Dépendance||0|0|||
|||||||000001|24/02/2025|Vente|305000,00|216||RTE|0745|DE BELLET|6200|NICE|06|88||MS|277||21|64,59|4||||||||2|2|Appartement||66|3|||
|||||||000001|24/02/2025|Vente|305000,00|216||RTE|0745|DE BELLET|6200|NICE|06|88||MS|277||13||||||||||1|3|Dépendance||0|0|||
|||||||000001|24/02/2025|Vente|305000,00|216||RTE|0745|DE BELLET|6200|NICE|06|88||MS|277||21|64,59|4||||||||2|3|Dépendance||0|0|||
|||||||000001|12/02/2025|Vente|187000,00|2||RUE|4484|NATHALIE MASSE|6000|NICE|06|88||LI|249||48||||||||||1|3|Dépendance||0|0|||
|||||||000001|12/02/2025|Vente|187000,00|2||RUE|4484|NATHALIE MASSE|6000|NICE|06|88||LI|249||64||85|48,85|||||||2|2|Appartement||48|2|||
|||||||000001|26/02/2025|Vente|100000,00|40||BD|3357|JEAN BEHRA|6100|NICE|06|88||DZ|53||221||||||||||1|2|Appartement||29|1|||
|||||||000001|26/02/2025|Vente|100000,00|40||BD|3357|JEAN BEHRA|6100|NICE|06|88||DZ|53||221||||||||||1|3|Dépendance||0|0|||
|||||||000001|25/02/2025|Vente|104000,00|41||AV|4965|DE PESSICART|6100|NICE|06|88||ME|161||12|41,12|||||||||1|2|Appartement||44|2|||
|||||||000001|20/02/2025|Vente|800000,00|9076||CHE|0645|BATTERIE RIMIEZ|6100|NICE|06|88||EV|76||||||||||||0|1|Maison||76|2|J|POTAG|1195
|||||||000001|20/02/2025|Vente|800000,00|9076||CHE|0645|BATTERIE RIMIEZ|6100|NICE|06|88||EV|76||||||||||||0|1|Maison||76|2|S||645
|||||||000001|04/03/2025|Vente|111500,00|12||RUE|2830|GENERAL TORDO|6000|NICE|06|88||HD|129||28|31,97|||||||||1|2|Appartement||32|1|||
|||||||000001|26/02/2025|Vente|635000,00|13||AV|0540|BANCO|6300|NICE|06|88||IZ|224||215|10,00|||||||||1|3|Dépendance||0|0|||
|||||||000001|26/02/2025|Vente|635000,00|13||AV|0540|BANCO|6300|NICE|06|88||IZ|224||226|63,26|||||||||1|2|Appartement||62|2|||
